text,label
Shai draws a questionable foul on De'Aaron Fox,highlight
Trae Young sends the series to Game 6 with a long three against the Boston Celtics,highlight
"The Stop. Ten years ago today, Kevin Love played the defense of his life on Stephen Curry.",highlight
Jaime Jacquez Jr. live reaction to being traded to the Bucks,highlight
"""Thank you, mama. I appreciate you getting me one."" - Karl-Anthony Towns",highlight
"Hugo González defensive highlights from his rookie season. The 19-year-old ended the season 3rd among rookies in plus-minus at +246, despite only playing 14 minutes per game",highlight
"Giannis’ first, second and third career three pointer occurred in Miami.",highlight
Giannis Antetokounmpo Scores 31 Points & 14 Rebounds vs. Pacers | 03.15.26,highlight
[Club 520] reacts to Jordan’s highlights vs the Knicks in comparison to Curry/Bron and start clowning the low level of play/competition,highlight
When Damian Lillard Hit a Game Winning 3 With 0.9 Seconds Left To Eliminate The Rockets,highlight
"Maurice Evans intercepts the inbound pass by Cheikh Samb and finishes with a monster reverse poster dunk on him at the Palace, in a pre-season game. 10/23/08.",highlight
"All the 142 threes Miles ""Deuce"" McBride scored in the 2025-26 season, including playoffs. 60 games played. He went 142/351 from 3 (40.5%).",highlight
2025-2026 Luka Doncic,highlight
"Mark Madsen with the powerful dunk vs. the Milwaukee Bucks on his Minnesota Timberwolves debut, on the first game of the season. October 29th, 2003.",highlight
"Bismack Biyombo Full 2016 Game 3 vs Cavaliers highlights 7 pts, 26 rebounds, clutch buckets, incredible defense, big blocks on Kyrie and LeBron",highlight
Every Georges Niang field goal to extend the lead to 26 points,highlight
"10 years ago to this day, LeBron James blocked Andre Iguodala's critical go-ahead layup in Game 7 of the 2016 NBA Finals",highlight
OG Anunoby vs Cavaliers 2026 Eastern Conference Finals Full Play,highlight
"All the 94 assists by Karl-Anthony Towns in the 2026 NBA Playoffs - 19 games played, 578 minutes in total.",highlight
"5 years ago, Giannis had one of the craziest blocks in NBA history",highlight
5 years ago Kevin Durant had a near series ending winner.,highlight
LeBron James' Historic Block on Andre Iguodala From All Angles,highlight
"10 years ago on this date, the Cleveland Cavaliers come back down 3-1 to win their first NBA Championship",highlight
Kevin Garnett and his love of long 2’s,highlight
Mikal Bridges vs 76ers 2026 Eastern Conference Semifinals Full Play,highlight
"Kyrie Irving Explodes for 40 Points in Iconic Christmas OT Thriller, 17 Made Shots, 1 Free Throw",highlight
Nets Vince Carter was still a human highlight reel,highlight
Skip Bayless calls Wembanyama “A spoiled child”,highlight
KAT and Mayor Mamdani lean back together on the Knicks’ float,highlight
NBA Finals MVP Jalen Brunson and his family have arrived at the Knicks Championship Parade!,highlight
"All the 302 field goal attempts by De'Aaron Fox in the 2026 NBA Playoffs. 327 points on 125/302 FG (41.4%), 30/102 from 3 (29.4%), 47/62 FT (75.8%), in 704 minutes played. He played 21 out of the 23 playoffs games for the San Antonio Spurs.",highlight
Milwaukee Bucks Ray Allen,highlight
LeBron James Scores Cavs’ last 25 points in Game 5 of ECF against the Pistons,highlight
Kawhi Leonard re-injures his ankle after ZaZa Pachulia’s robust closeout,highlight
"All the 176 field goals made by Victor Wembanyama in the 2026 NBA Playoffs for the San Antonio Spurs. 524 points on 176/363 from the field (48.5%), 39/114 from 3 (34.2%), 133/157 FT (84.7%). 750 minutes played in 22 games (out of 23).",highlight
NBA champion Jalen Brunson's courtside interview after scoring 45 to bring the Knicks their first title in 53 years,highlight
"The New York Knicks became the 1st team since 1971 to win the NBA Finals after trailing by 10+ in every game of the series. They ended the 2026 postseason going 16-3, including 9-1 on the road.",highlight
Giannis Post-Up Scoring 2025-2026,highlight
"All the 120 field goals made by the rookie Dylan Harper in the 2026 NBA Playoffs for the San Antonio Spurs. 325 Points on 120/233 FG (51.5%), 23/69 from 3 (33.3%), 62/75 FT (82.7%), in 615 minutes played, and a total of 23 games played (2 as a starter).",highlight
"All the 78 blocks by Victor Wembanyama in the 2026 NBA Playoffs, in 750 minutes (22 out of 23 games). 3.5 blocks per game.",highlight
"OG Anunoby Hits EPIC Game-Winner buzzer-beater 3 vs. the Celtics | Game 3 | Raptors vs Celtics. September 3rd, 2020. Tacko Fall was trying to prevent the inbound pass. The Celtics went on to win the series in 7 games.",highlight
All the 192 field goals made by Jalen Brunson in the 2026 NBA Playoffs for the New York Knicks.,highlight
"Mitchell Robinson full FOOTAGE vs. San Antonio Spurs last night (94-90 W) - Game 5 of the 2026 NBA Finals: 5 Points on 1/2 FG, 0/2 FT, 10 Rebounds (6 Off. Rebs), 2 Assists (ZERO turnovers), 1 PF, and a +/- of +5 in 19:59 minutes off the bench.",highlight
"Wemby, in french, talks about what he needs to work on over the summer: ""I'm going to work even harder, obviously, to be even more durable and, above all, to keep a fresh mind and maintain control of the game at all times.",highlight
28 years ago Michael Jordan’s clutch last minute takeover to win his 6th championship.,highlight
"Stephon Castle full FOOTAGE vs. New York Knicks last night (94-90 L) - Game 5 of the 2026 NBA Finals: 6 Points on 1/10 FG (10.0%), 0/3 from 3, 4/6 FT (66.7%), 5 Rebounds (1 Off. Reb), 4 Assists (3 TOV), 1 Steal, 4 PF, and a +/- of -1 in 32:03 minutes played.",highlight
"Victor Wembanyama receives a powerful inadvert elbow from Mitchell Robinson while fighting for the rebound, as he falls on the floor with blood in his mouth (can be seen after the replay)",highlight
"OG Anunoby hits the corner 3 over Victor Wembanyama, Jeremy Sochan talks some trash to Wemby from the Knicks' bench, and then Wemby tags him. After it, Wembanyama bumps with his shoulder into Sochan's chin.",highlight
"Shaq, Chuck, Ernie, & Kenny Sign Off On The 2025-26 NBA Season + 82-0 Game Segment",highlight
Stephon Castle Rebounds & Dunks Wemby's Shot to Make it a 2-PT Game,highlight
"Players that aren’t scared to fail are often the most successful. Chet has played scared this series. Shrunk from the moment the first 4 games. It’s hurt OKC. Jered McCain? He DGAF. He’s shootin’. While shooting too much can be a problem, he and Caruso were the first to challenge Wemby at the rim. To go right at him. McCain had the highlight of game 3 by scoring over Wemby and flexing. OKC absolutely needed him to not care and just let it fly. I actually believe Isaiah Joe is the better overall player, especially considering defense, but he won’t shoot the ball unless he’s open. He won’t force the shot. It’s why McCain passed him in the rotation.",analysis
"Situation and Opportunity Can Make a Star. Brunson, Jokic, Ginóbili, Arenas, Draymond, etc etc. Second round picks to make multiple All Star games, some are HOFers, with Jokic being all-time, and there are more. I sometimes wonder who else is out there that, had they been given the opportunity, would have been able to piece together an elite career. I named 2nd round picks, but also someone like Jimmy Butler, who I believe was 30, and Tony Parker",analysis
"Stephon Castle is a beast and will be a major problem once he’s the 3rd or 4th best player for SA. He plays defense like a hyper athletic Lu Dort, plays offense like a Temu Russell Westbrook (not a slight, Westbrook is an MVP) and has immense potential.",analysis
"De'Aaron Fox is the Julius Randle of PGs: a player who can raise your floor but not your ceiling, can put up strong numbers but doesn’t really elevate teammates and not a great hustle player or defender. I loved Fox in Sacramento but his game hasn’t scaled up in a winning environment. The Spurs played better with Fox on the bench and that’s been the case all series.",analysis
"Chet needs to take the Wemby challenge upon himself from here on. Challenge Wemby on both ends of the floor. Chet is not nearly the player or potential of Wemby but he’s playing small, timid and, at times, frightened. Take the ball to the rim. Make Wemby block your shot. Make Wemby dunk over you. Don’t play soft. Chet is talented for his size but shrinks in this matchup and disappears from far too many games.",analysis
"The rule given by Dean Oliver is 40% efg%, 25% TOV%, 20% ORB%, 15% Ftr. But you can run your own linear regression to find better weights.",analysis
"Alex is still one of the most underrated players in the league; however, calling him underrated is still not bad form, unlike similar cases with Derrick White or, say, Jrue Holliday two years ago.  Over a sample of 41+ games played, 7+ DFGA (defensive field goal attempts) per game Alex has:
-DFG% - 45.3% (32nd among guards/swingmen);
-17th among guards/swingmen in defensive matchup difficulty with an average opponent's FG% of 47.3%;
-DIFF% (the difference between a player's DFG% and the average FG% of his matchups) - -2% (23rd place in the same category). ",analysis
"Alex has the league's highest defensive rating among players who have played more than half of the season's games, and also the only one with a point allowed percentage below 100 points per 100 possessions – 99.3. Furthermore, his closest pursuer in adequate minutes, his Oklahoma City teammate Chet Holmgren, is a full three points behind Alex – he has 102.3 points allowed per 100 possessions. Pat Connathan is also in between, but he played only 7 garbage minutes per game for the Hornets, and his defensive rating is closer to Holmgren than to Caruso.",analysis
"I want to compare the top 10 NBA scorers based on Jordan’s 1072 games. My contention is that MJ is the best because he did so much while playing relatively few games, so I’d like to see how Kobe, James, etc stack up if they had played the same number of regular season games. For reference most of the top scorers are also near the top for most games played while Jordan is tied for 113.",analysis
